ID,ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore
10001,2045-05-19,31,84537,428,Employed,Bachelor,12,20611,24,Single,0,Rent,354,0.2049012123136854,3,1,0.2948978676834579,0,Auto,0,21,7,5619,605,166786,10036,7044.75,0.7011491373699607,5,156750,0.281611,0.2507961871092368,1100.8639360118625,0.2065174684711114,38.400000000000006
10002,2045-05-20,36,21208,513,Unemployed,Associate,16,18209,72,Married,3,Other,322,0.4026049045348153,5,2,0.164934907242122,0,Debt Consolidation,0,25,2,12395,1673,31107,144653,1767.3333333333333,0.9670931735975014,6,1323,0.276709,0.2693059026602297,512.2886538976651,0.4720607245743107,60.0
10003,2045-05-21,32,28894,515,Employed,High School,11,31147,36,Divorced,0,Rent,799,0.0948697001463757,5,2,0.1267976955532206,0,Debt Consolidation,0,16,6,1919,2069,31590,43334,2407.833333333333,0.9213124234183748,4,1648,0.258647,0.231402303805713,1207.9693676003917,0.8335167305047657,53.0
10004,2045-05-22,41,46238,613,Employed,Doctorate,18,33257,96,Married,0,Mortgage,257,0.2411548026171887,7,1,0.3865790168971659,0,Auto,1,31,22,6494,279,66949,9316,3853.1666666666665,0.8482822698805159,5,57633,0.261757,0.2648477837232786,836.9284323300335,0.2839037412509279,56.0
10005,2045-05-23,54,45662,628,Employed,Master,29,11410,72,Single,1,Rent,649,0.442855623000852,5,0,0.1202069277170651,0,Auto,0,12,19,18391,631,158496,49567,3805.1666666666665,0.8180437209136084,2,108929,0.21241,0.2081474178666426,278.7169856317248,0.2438045601940497,45.0
10006,2045-05-24,30,30191,585,Employed,High School,6,13779,72,Married,1,Rent,478,0.192150363307847,4,1,0.2674659055919793,0,Home,0,32,26,1154,1667,38644,50791,2515.9166666666665,0.9146906230435836,7,6647,0.236279,0.2432274622265102,365.4617839004703,0.3352502867346442,52.0
10007,2045-05-25,52,32399,632,Employed,Master,32,29591,36,Married,4,Mortgage,488,0.4398431845600299,3,0,0.1629677137313952,1,Education,0,19,29,6781,2709,24985,9219,2699.9166666666665,0.8266238477141237,8,15766,0.198591,0.2318684886275876,1148.3431202393842,0.6060717134131489,61.0
10008,2045-05-26,30,57130,601,Employed,Bachelor,8,13502,108,Married,4,Rent,573,0.5413315907067051,6,1,0.686692508921845,0,Auto,0,18,23,11724,1293,88386,12738,4760.833333333333,0.978751590494154,4,75648,0.2580019999999999,0.2770430093441517,340.6791327366582,0.1919157989294573,54.0
10009,2045-05-27,29,15818,593,Employed,High School,6,16538,60,Widowed,2,Rent,379,0.2199532738829094,2,2,0.5610964233435581,0,Home,0,26,25,9835,2081,11916,7330,1318.1666666666667,0.7154621836665613,2,4586,0.225038,0.247260590319667,482.7597496560121,0.653756290041228,60.0
10010,2045-05-28,49,36007,631,Employed,Associate,27,29751,36,Married,2,Mortgage,463,0.3338748306301097,4,0,0.5968145575318604,0,Home,1,23,13,1269,675,49282,10486,3000.583333333333,0.6629051868387839,0,38796,0.199251,0.205476833006234,1113.9735403720206,0.525555655413232,62.0
